2014,Cincinnati Reds,500000,12000000,11500000
2015,Atlanta Braves,507500,12000000,11492500
2015,Arizona Diamondbacks,507500,12000000,11492500
2016,Kansas City Royals,508450,12000000,11491550
2006,Baltimore Orioles,327000,11811415,11484415
2003,Oakland Athletics,300000,11666667,11366667
2004,Oakland Athletics,300500,11666667,11366167
2000,Boston Red Sox,200000,11500000,11300000
2009,Arizona Diamondbacks,400000,11666666,11266666
2009,Minnesota Twins,400000,11600000,11200000
2003,Montreal Expos,300000,11500000,11200000
2003,Anaheim Angels,300000,11500000,11200000
2012,Los Angeles Dodgers,480000,11666666,11186666
2006,Oakland Athletics,327000,11492454,11165454
2016,Oakland Athletics,507500,11666667,11159167
2015,Pittsburgh Pirates,510000,11666666,11156666
2008,Oakland Athletics,390000,11500000,11110000
2009,Cleveland Indians,400000,11500000,11100000
2010,Cleveland Indians,400000,11500000,11100000
2006,Los Angeles Dodgers,327500,11400000,11072500
2013,Miami Marlins,490000,11500000,11010000
2000,Anaheim Angels,200000,11166667,10966667
2000,Atlanta Braves,200000,11100000,10900000
1999,Boston Red Sox,200000,11100000,10900000
2003,Philadelphia Phillies,300000,11166667,10866667
2000,Chicago Cubs,200000,11000000,10800000
2002,Houston Astros,200000,11000000,10800000
2001,St. Louis Cardinals,200000,11000000,10800000
2007,Milwaukee Brewers,381000,11125000,10744000
2003,Kansas City Royals,300000,11000000,10700000
2004,Kansas City Royals,300000,11000000,10700000
2004,Anaheim Angels,301500,11000000,10698500
2005,Kansas City Royals,316000,11000000,10684000
2005,Arizona Diamondbacks,317500,11000000,10682500
2006,Kansas City Royals,327500,11000000,10672500
2007,Kansas City Royals,380000,11000000,10620000
2008,Texas Rangers,390000,11000000,10610000
2008,Cleveland Indians,390400,11000000,10609600
2009,San Diego Padres,400000,11000000,10600000
2011,Florida Marlins,414000,11000000,10586000
1999,Los Angeles Dodgers,200000,10714286,10514286
2013,Milwaukee Brewers,490000,11000000,10510000
2013,Colorado Rockies,490000,11000000,10510000
2013,Cleveland Indians,490000,11000000,10510000
2014,Chicago Cubs,500000,11000000,10500000
